Num,Pokemon,Chance
69,Bellsprout,70
70,Weepinbell,40
71,Victreebel,10
77,Ponyta,40
78,Rapidash,3
79,Slowpoke,35
80,Slowbro,5
83,Farfetch'd,45
84,Doduo,45
85,Dodrio,10
88,Grimer,35
89,Muk,10
96,Drowzee,25
97,Hypno,5
102,Exeggcute,35
103,Exeggutor,5
104,Cubone,45
105,Marowak,5
108,Lickitung,25
109,Koffing,25
110,Weezing,5
111,Rhyhorn,35
112,Rhydon,2
113,Chansey,25
114,Tangela,75
115,Kangaskhan,35
122,Mr. Mime,10
123,Scyther,15
124,Jynx,15
125,Electabuzz,35
126,Magmar,25
127,Pinsir,15
128,Tauros,75
132,Ditto,65
137,Porygon,10
138,Omanyte,15
139,Omastar,2
140,Kabuto,10
141,Kabutops,2
142,Aerodactyl,8
143,Snorlax,30
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
