Num,Pokemon,Chance
10,Caterpie,95
11,Metapod,50
12,Butterfree,20
13,Weedle,95
14,Kakuna,50
15,Beedrill,20
16,Pidgey,85
17,Pidgeotto,40
18,Pidgeot,20
19,Rattata,90
20,Raticate,30
21,Spearow,60
22,Fearow,15
23,Ekans,50
24,Arbok,10
25,Pikachu,15
26,Raichu,2
39,Jigglypuff,60
40,Wigglytuff,20
43,Oddish,80
44,Gloom,20
45,Vileplume,10
46,Paras,60
47,Parasect,10
48,Venonat,50
49,Venomoth,10
50,Diglett,60
51,Dugtrio,30
52,Meowth,70
53,Persian,70
56,Mankey,65
57,Primeape,15
58,Growlithe,55
59,Arcanine,10
63,Abra,70
64,Kadabra,20
65,Alakazam,5
69,Bellsprout,70
70,Weepinbell,40
71,Victreebel,10
77,Ponyta,40
78,Rapidash,3
79,Slowpoke,35
80,Slowbro,5
83,Farfetch'd,45
84,Doduo,45
85,Dodrio,10
88,Grimer,35
89,Muk,10
102,Exeggcute,35
103,Exeggutor,5
110,Weezing,5
113,Chansey,25
114,Tangela,75
115,Kangaskhan,35
127,Pinsir,15
132,Ditto,65
133,Eevee,55
134,Vaporeon,0
135,Jolteon,0
136,Flareon,0
137,Porygon,10
142,Aerodactyl,8
143,Snorlax,30
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
