Num,Pokemon,Chance
54,Psyduck,40
55,Golduck,10
60,Poliwag,45
61,Poliwhirl,10
62,Poliwrath,5
72,Tentacool,80
73,Tentacruel,20
79,Slowpoke,35
80,Slowbro,5
86,Seel,25
87,Dewgong,5
90,Shellder,75
91,Cloyster,25
98,Krabby,65
99,Kingler,15
116,Horsea,25
117,Seadra,5
118,Goldeen,85
119,Seaking,35
120,Staryu,15
121,Starmie,3
129,Magikarp,90
130,Gyarados,3
131,Lapras,15
138,Omanyte,15
139,Omastar,2
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
