Num,Pokemon,Chance
23,Ekans,50
24,Arbok,10
35,Clefairy,60
36,Clefable,10
52,Meowth,70
53,Persian,70
63,Abra,70
64,Kadabra,20
65,Alakazam,5
92,Gastly,25
93,Haunter,20
94,Gengar,0
96,Drowzee,25
97,Hypno,5
108,Lickitung,25
109,Koffing,25
110,Weezing,5
113,Chansey,25
122,Mr. Mime,10
123,Scyther,15
124,Jynx,15
138,Omanyte,15
140,Kabuto,10
141,Kabutops,2
142,Aerodactyl,8
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
