Num,Pokemon,Chance
21,Spearow,60
22,Fearow,15
23,Ekans,50
24,Arbok,10
25,Pikachu,5
26,Raichu,0.1
27,Sandshrew,20
28,Sandslash,0.1
29,Nidoran F,30
30,Nidorina,10
31,Nidoqueen,1
32,Nidoran M,35
33,Nidorino,15
34,Nidoking,3
43,Oddish,80
44,Gloom,20
45,Vileplume,10
46,Paras,60
47,Parasect,10
48,Venonat,50
49,Venomoth,10
114,Tangela,75
115,Kangaskhan,35
123,Scyther,15
124,Jynx,15
125,Electabuzz,35
126,Magmar,25
127,Pinsir,15
128,Tauros,75
132,Ditto,65
133,Eevee,55
137,Porygon,10
138,Omanyte,15
139,Omastar,2
140,Kabuto,10
141,Kabutops,2
142,Aerodactyl,8
143,Snorlax,30
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
